Key,TEST_RULE,SATR EBRW,SATR Math,SATR Total,ACT Composite,ACT English,ACT Combined English/Writing,ACT Math
050557,SAT2ACT,,,,21,20,,19
050573,SAT2ACT,610,620,1200,,,,
050578,SAT2ACT,,,,31,29,,31
050579,SAT2ACT,570,680,1250,,,,
050583,SAT2ACT,710,800,1510,35,36,,35
050597,SAT2ACT,630,710,1340,28,30,,31
050598,SAT2ACT,630,690,1320,28,33,,28
050600,SAT2ACT,,,,35,34,,34
050633,SAT2ACT,620,720,1320,29,30,,29
050639,SAT2ACT,610,620,1230,,,,
050682,SAT2ACT,550,610,1160,26,26,,29
050690,SAT2ACT,,,,31,30,,29
050692,SAT2ACT,630,630,1260,29,34,,28
050700,SAT2ACT,700,730,1430,34,36,,33
050770,SAT2ACT,640,730,1370,,,,
050797,SAT2ACT,,,,33,36,,30
050798,SAT2ACT,710,710,1420,34,33,,32
050809,SAT2ACT,650,720,1370,,,,
050820,SAT2ACT,620,630,1240,,,,
050821,SAT2ACT,,,,32,28,,33
050833,SAT2ACT,710,720,1430,,,,
050857,SAT2ACT,650,680,1330,,,,
050864,SAT2ACT,,,,28,22,,29
050870,SAT2ACT,,,,33,34,,29
050891,SAT2ACT,730,680,1410,33,34,,30
050897,SAT2ACT,690,580,1270,,,,
050906,SAT2ACT,740,720,1460,,,,
050926,SAT2ACT,640,630,1270,,,,
050930,SAT2ACT,620,590,1210,29,29,,28
050935,SAT2ACT,,,,30,31,,29
050942,SAT2ACT,670,790,1460,,,,
050946,SAT2ACT,600,590,1150,,,,
050957,SAT2ACT,630,630,1260,,,,
050960,SAT2ACT,670,590,1260,,,,
050978,SAT2ACT,,,,33,32,,33
050993,SAT2ACT,,,,26,22,,25
051009,SAT2ACT,620,690,1310,,,,
051013,SAT2ACT,,,,35,34,,34
051023,SAT2ACT,610,660,1260,,,,
051032,SAT2ACT,630,640,1270,27,29,,26
051034,SAT2ACT,610,770,1380,,,,
051036,SAT2ACT,570,590,1160,22,23,,26
051047,SAT2ACT,670,660,1300,30,34,,28
051068,SAT2ACT,740,790,1530,,,,
051077,SAT2ACT,760,700,1460,,,,
051087,SAT2ACT,630,720,1350,,,,
051102,SAT2ACT,690,720,1410,,,,
051108,SAT2ACT,640,740,1360,28,28,,33
051234,SAT2ACT,600,540,1120,23,23,,25
051260,SAT2ACT,680,770,1450,,,,
051265,SAT2ACT,660,740,1380,29,26,,28
051268,SAT2ACT,740,740,1480,34,30,,34
051271,SAT2ACT,700,730,1400,30,26,,33
051286,SAT2ACT,570,670,1190,25,21,,29
051290,SAT2ACT,,,,35,36,,36
