PUID_SIX,ACADEMIC_PERIOD,TRANSFER_COURSE_INSTITUTION,TRANSFER_COURSE_INST_DESC,COURSE_IDENTIFICATION,COURSE_TITLE_SHORT,TRANSFER_COURSE_IND,CREDITS_EARNED
140895,201930,99ADPL,Advance Placement - CEEB,MA1XXXX,Calculus AB,Y,3
140943,,,,,,,
140944,,,,,,,
140962,,,,,,,
140971,201930,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
141063,,,,,,,
141121,,,,,,,
141131,201930,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
141131,201930,99ADPL,Advance Placement - CEEB,MA16600,Analytc Geom & Calc II,Y,4
141150,,,,,,,
141164,,,,,,,
141349,,,,,,,
141442,,,,,,,
141444,,,,,,,
141469,,,,,,,
141583,,,,,,,
141688,,,,,,,
141746,,,,,,,
141788,,,,,,,
141808,,,,,,,
141866,,,,,,,
141894,,,,,,,
141946,,,,,,,
141975,,,,,,,
141997,,,,,,,
142009,,,,,,,
142109,,,,,,,
142192,,,,,,,
142357,,,,,,,
142393,201930,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
142441,,,,,,,
142739,,,,,,,
142741,201930,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
142958,,,,,,,
142997,,,,,,,
143011,201930,99ADPL,Advance Placement - CEEB,MA1XXXX,Calculus AB,Y,3
143023,,,,,,,
143033,,,,,,,
143161,,,,,,,
143189,201930,99ADPL,Advance Placement - CEEB,MA1XXXX,Calculus AB,Y,3
143278,,,,,,,
143606,,,,,,,
143683,202120,99ADPL,Advance Placement - CEEB,MA15555,Quantitative Reasoning,Y,3
143687,,,,,,,
143845,201930,99ADPL,Advance Placement - CEEB,MA1XXXX,Calculus AB,Y,3
143845,201930,99ADPL,Advance Placement - CEEB,PHYS1XXXX,Physics I,Y,4
143847,201930,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
