PUID_SIX,ACADEMIC_PERIOD,ACADEMIC_PERIOD_DESC,COURSE_IDENTIFICATION,COURSE_REFERENCE_NUMBER,Prior_Term_GPA_Term,Prior_Term_GPA_Term_Desc,Prior_Term_GPA_Term_Level,GPA
136000,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.91428571
136017,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,3.62666667
136169,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,3.55
136217,202120,Spring 2021,PHYS22000,32657,202110,Fall 2020,Undergraduate,3.55555556
136241,202120,Spring 2021,PHYS22000,26670,202110,Fall 2020,Undergraduate,2.65833333
136296,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3
136418,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,2.675
136454,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,4
136494,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.5
136520,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,3.62857143
136558,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,3.25
136767,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,3.4
136827,202120,Spring 2021,PHYS17200,28589,202110,Fall 2020,Undergraduate,3.14285714
136890,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,3.94
137079,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,3.19411765
137329,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.86
